timestamp_sec,vehicle_id,x,y,speed_kmph
6.7,366,820,241,0.0
6.7,356,633,260,402.74
6.7,367,678,305,0.0
6.7,346,621,207,373.39
6.7,355,66,180,137.67
6.7,368,726,401,0.0
6.7,369,106,170,0.0
6.7,346,603,186,373.39
6.7,320,396,236,446.93
6.7,339,245,152,393.59
6.7,320,410,206,446.93
6.7,370,372,250,115.34
6.7,355,76,182,137.67
6.7,364,29,159,153.92
6.7,350,376,282,111.32
6.7,370,369,242,115.34
6.8,367,651,301,368.48
6.8,371,697,362,0.0
6.8,372,877,285,0.0
6.8,365,317,399,326.8
6.8,356,633,229,449.37
6.8,364,28,162,42.69
6.8,355,105,171,333.97
6.8,373,163,158,0.0
6.8,356,615,201,449.37
6.8,353,349,343,200.69
6.8,370,380,265,453.81
6.8,374,259,484,0.0
6.8,375,798,476,0.0
6.8,320,400,226,301.87
6.8,370,349,278,453.81
6.8,376,65,156,0.0
6.8,339,269,153,324.28
6.8,355,129,165,333.97
6.9,371,674,358,315.16
6.9,377,943,354,0.0
6.9,378,715,442,0.0
6.9,379,654,259,0.0
6.9,355,160,159,426.27
6.9,376,76,156,148.5
6.9,370,365,304,412.14
6.9,353,331,366,394.28
6.9,356,631,220,335.33
6.9,380,285,414,0.0
6.9,320,382,251,415.88
6.9,374,276,461,386.11
6.9,381,206,152,0.0
6.9,339,256,145,206.07
6.9,382,316,143,0.0
6.9,383,112,153,0.0
7.0,378,702,436,193.29
7.0,384,664,302,0.0
7.0,353,335,365,55.66
7.0,374,291,450,251.11
7.0,385,31,197,0.0
7.0,370,367,287,231.08
7.0,379,652,247,164.23
7.0,381,196,154,137.67
7.0,355,152,157,111.32
7.0,386,992,453,0.0
7.0,339,237,150,265.23
7.0,387,594,192,0.0
7.0,320,372,243,172.88
7.1,388,686,360,0.0
7.1,374,298,442,143.51
7.1,353,340,335,410.59
7.1,385,40,199,124.46
7.1,384,673,283,283.82
7.1,389,96,174,400.93
7.1,370,376,295,162.56
7.1,390,627,216,0.0
7.1,339,232,153,466.09
7.1,391,16,154,0.0
7.1,392,454,193,0.0
7.1,387,599,174,252.2
7.1,389,75,153,400.93
7.1,320,390,234,271.68
7.1,393,547,172,0.0
7.1,339,266,147,466.09
7.1,381,189,158,108.84
7.2,388,685,337,310.79
7.2,394,703,442,0.0
7.2,374,291,417,350.48
7.2,353,351,351,262.12
7.2,395,104,176,0.0
7.2,396,644,247,0.0
7.2,385,37,190,128.07
7.2,397,139,160,0.0
7.2,390,612,196,337.5
7.2,339,265,152,68.84
7.2,370,388,273,338.31
7.2,387,566,182,150.93
7.2,398,392,169,0.0
7.2,399,232,164,0.0
7.2,387,555,184,150.93
7.2,400,5,228,0.0
7.3,394,712,416,371.43
7.3,374,307,435,325.12
7.3,385,64,185,370.7
7.3,401,640,290,0.0
7.3,353,372,331,391.5
7.3,402,30,199,0.0
7.3,395,104,166,135.0
7.3,400,21,224,222.65
7.3,390,633,205,308.44
7.3,397,167,161,350.48
7.3,387,588,195,297.31
7.3,397,192,154,350.48
7.3,403,39,151,0.0
7.3,404,404,215,0.0
7.3,405,217,486,0.0
7.3,398,423,176,429.04
7.3,339,283,155,246.35
7.3,387,566,196,297.31
7.4,406,639,355,0.0
7.4,395,138,166,303.37
7.4,385,72,190,397.05
7.4,402,32,197,38.18
7.4,390,634,236,418.72
7.4,400,9,231,187.55
7.4,385,96,173,397.05
7.4,387,592,215,434.73
7.4,407,316,397,0.0
7.4,408,389,251,189.0
7.4,409,763,480,0.0
7.4,408,372,261,189.0
7.4,403,21,150,243.37
7.4,397,208,155,216.42
7.4,404,413,194,308.44
7.4,410,375,207,0.0
7.4,395,157,154,303.37
